Concept	Form	Year	Register	Author	AuthorGender	Source	Text	sentiment	confidence	Sentiment_Neutral	Sentiment_Positive	Gender	ConceptPair
father	父亲	1991	NEWS	罗康雄	M	XIN	周丽菊的父亲周长兴,是上海颇有名气的微雕大师,一生醉心于红楼文化的研究,至今已制作了2,000多件微雕。	Positive	0.996660947799683	No	Yes	Male	Parent
brother	兄弟	1991	NEWS	朱冬菊	F	XIN	它讲述了柯尔克孜族民族英雄玛纳斯及其子孙七代,带领柯尔克孜人民、团结其他兄弟民族人民一起抵御外敌和反对内部邪恶势力压迫、剥削的英勇斗争,表达了柯尔克孜人民追求自由幸福生活的美好愿望,是一部珍贵的文学遗产,也是研究柯尔克孜族的历史、经济、文化、宗教、民俗、语言以及意识形态的重要作品,被称作“国宝”。	Positive	0.911145150661468	No	Yes	Male	Sibling
brother	兄弟	1991	NEWS	陆汉魁	M	XIN	出席表彰会的有来自各条战线的壮、汉、瑶、苗、侗、仫佬、毛南、回、京等兄弟民族代表。	Positive	0.998426556587219	No	Yes	Male	Sibling
brother	兄弟	1991	NEWS	林勇	M	XIN	杂居这里的苗、布依、仡佬等少数民族兄弟赶到“宣传一条街”,看的听的问的络绎不绝,许多人走通一条街,知识装了满脑袋。	Positive	0.704394817352295	No	Yes	Male	Sibling
husband	丈夫	1991	NEWS	柴世宽	M	XIN	国务院总理李鹏今晚在钓鱼台国宾馆会见著名英籍作家韩素音和她的丈夫陆文星,宾主进行了亲切友好的谈话。	Positive	0.509154260158539	No	Yes	Male	Spouse
girl	女孩子	1991	NEWS	严卫民	M	XIN	黄燕苓成功的秘诀是什么?工人师傅们说得好:“没女孩子的娇气,没大学生的架子。	Negative	0.588052213191986	No	No	Female	Not_Adult
mother	妈妈	1991	NEWS	李忠诚	M	XIN	这个月刊注重文学性和幼儿情趣,内容有诗歌、散文、童话、民间故事、幼儿生活等,还有“小乐园”和“妈妈之页”专栏。	Neutral	0.519739806652069	Yes	NA	Female	Parent
mother	母亲	1991	NEWS	刘浦泉	M	XIN	黄敦孚至今仍忘不了他母亲对他的影响。	Positive	0.995672583580017	No	Yes	Female	Parent
mother	母亲	1991	NEWS	刘浦泉	M	XIN	1988年初,他的母亲――一位有较长党龄的街道居委会主任去世了。	Negative	0.951456129550934	No	No	Female	Parent
brother	兄弟	1991	NEWS	万红强	M	XIN	会议全体代表还发出了致台湾父老兄弟姐妹的一封信。	Positive	0.997467875480652	No	Yes	Male	Sibling
boy	男孩	1991	NEWS	沈法良	M	XIN	果然,江总书记和在场的所有人都对这些男孩的精彩表演报以热烈的掌声。	Positive	0.998858451843262	No	Yes	Male	Not_Adult
brother	兄弟	1991	NEWS	郭京花	F	XIN	该片导演科恩兄弟同获最佳导演奖。	Positive	0.994069933891296	No	Yes	Male	Sibling
brother	兄弟	1991	NEWS	顾正龙	M	XIN	叙利亚总统阿萨德和黎巴嫩总统赫拉维今天在这里签署了《叙黎合作协调兄弟关系条约》,从而奠定了黎巴嫩与叙利亚建立特殊的双边关系的基础。	Positive	0.863335251808167	No	Yes	Male	Sibling
brother	兄弟	1991	NEWS	顾正龙	M	XIN	但据此间人士说,该条约规定,叙黎两国将保持特殊的兄弟般的国家关系,并在政治、军事、经济等领域进行全面的合作与协调。	Positive	0.84231835603714	No	Yes	Male	Sibling
wife	妻子	1991	NEWS	詹得雄	M	XIN	印度国大党(英)主席、前总理拉吉夫・甘地遇刺身亡后,国大党高级领导人今天举行会议,推选他妻子索尼亚・甘地为该党主席。	Positive	0.93130224943161	No	Yes	Female	Spouse
mother	母亲	1991	NEWS	詹德雄	M	XIN	这里是印度圣雄甘地、拉・甘地的外祖父――印度第一位总理贾・尼赫鲁和拉・甘地的母亲――印度前总理英・甘地火化的地方。	Positive	0.984845876693726	No	Yes	Female	Parent
daughter	女儿	1991	NEWS	詹德雄	M	XIN	他的遗孀、穿着白色纱丽的索尼亚・甘地、儿子拉胡尔和女儿普里扬卡站在旁边默哀。	Neutral	0.882214426994324	Yes	NA	Female	Child
son	儿子	1991	NEWS	詹德雄	M	XIN	他的遗孀、穿着白色纱丽的索尼亚・甘地、儿子拉胡尔和女儿普里扬卡站在旁边默哀。	Neutral	0.829106032848358	Yes	NA	Male	Child
mother	母亲	1991	NEWS	詹德雄	M	XIN	身着素装的拉胡尔首先在他父亲的遗体上撒上酥油,接着,他的母亲和姐姐在拉・甘地遗体旁添加木柴。	Neutral	0.680274844169617	Yes	NA	Female	Parent
father	父亲	1991	NEWS	詹德雄	M	XIN	身着素装的拉胡尔首先在他父亲的遗体上撒上酥油,接着,他的母亲和姐姐在拉・甘地遗体旁添加木柴。	Negative	0.377289265394211	No	No	Male	Parent
sister	姐姐	1991	NEWS	詹德雄	M	XIN	身着素装的拉胡尔首先在他父亲的遗体上撒上酥油,接着,他的母亲和姐姐在拉・甘地遗体旁添加木柴。	Positive	0.497030705213547	No	Yes	Female	Sibling
brother	兄弟	1991	NEWS	顾正龙	M	XIN	在会谈中,巴勒斯坦代表团对最近签订的《叙黎合作协调兄弟关系条约》表示欢迎。	Positive	0.946847200393677	No	Yes	Male	Sibling
brother	兄弟	1991	NEWS	肖自权	M	XIN	萨文比对记者说,他感谢葡萄牙政府为两个相互厮杀多年的安哥拉兄弟相聚在一起所作出的不懈努力。	Neutral	0.476784199476242	Yes	NA	Male	Sibling
boy	男孩	1991	NEWS	张愈升	M	XIN	一位患青光眼病的男孩来电请求为他解决读书问题。	Negative	0.722704708576202	No	No	Male	Not_Adult
boy	男孩	1991	NEWS	张愈升	M	XIN	这位男孩激动得热泪盈眶,拉着爸爸的手跑到“心声”办公室向咨询员们道谢。	Positive	0.98829996585846	No	Yes	Male	Not_Adult
father	爸爸	1991	NEWS	张愈升	M	XIN	这位男孩激动得热泪盈眶,拉着爸爸的手跑到“心声”办公室向咨询员们道谢。	Positive	0.744994759559631	No	Yes	Male	Parent
boy	男孩	1991	NEWS	刘卫兵	M	XIN	“小刘帅出院啦!”当这个活泼可爱的小男孩被救命恩人任志庆、史海龙抱出北京儿童医院时,人们简直不敢相信这小家伙曾经从15层楼上掉下来。	Positive	0.998480498790741	No	Yes	Male	Not_Adult
mother	母亲	1991	NEWS	刘卫兵	M	XIN	“爸爸,爸爸!”康复后的小刘帅一会儿抱着任志庆的脖子撒娇,一会儿挨过去亲亲史海龙,看到这番“父子深情”,在场的人都笑了,刘帅的母亲红着眼圈,抱着儿子一遍又一遍地说:“帅,你永远别忘了你是怎么活过来的。	Positive	0.903921663761139	No	Yes	Female	Parent
father	爸爸	1991	NEWS	刘卫兵	M	XIN	“爸爸,爸爸!”康复后的小刘帅一会儿抱着任志庆的脖子撒娇,一会儿挨过去亲亲史海龙,看到这番“父子深情”,在场的人都笑了,刘帅的母亲红着眼圈,抱着儿子一遍又一遍地说:“帅,你永远别忘了你是怎么活过来的。	Positive	0.435330599546432	No	Yes	Male	Parent
son	儿子	1991	NEWS	刘卫兵	M	XIN	“爸爸,爸爸!”康复后的小刘帅一会儿抱着任志庆的脖子撒娇,一会儿挨过去亲亲史海龙,看到这番“父子深情”,在场的人都笑了,刘帅的母亲红着眼圈,抱着儿子一遍又一遍地说:“帅,你永远别忘了你是怎么活过来的。	Neutral	0.683881223201752	Yes	NA	Male	Child
boy	男孩	1991	NEWS	邵建武	M	XIN	老艺术家们演唱的革命历史歌曲把人带入了历史的硝烟中,艰难岁月,浴血奋斗;中央乐团少年及女子合唱团演唱了各地民歌和少儿歌曲,纯朴天真的少女,憨态十足的男孩,又把人领入一个阳光漫射的天地,祖国未来,生机四起;中央乐团交响乐队和文化部老干部合唱团表演的进行歌曲,让人精神奋发;最后,步上舞台的领导人和全体演职员,和观众,在秋里的指挥下,齐唱《没有共产党就没有新中国》,把音乐会推向高潮。	Positive	0.496263861656189	No	Yes	Male	Not_Adult
son	儿子	1991	NEWS	郭玲春	F	XIN	作为献礼的影片还有抒写领袖胸怀的《毛泽东和他的儿子》、歌颂中国共产党诞生、崛起的《开天辟地》等,以及正在拍摄中的《周恩来》。	Neutral	0.587226688861847	Yes	NA	Male	Child
son	儿子	1991	NEWS	郭玲春	F	XIN	献礼片《焦裕禄》的朴实无华曾震憾人心,《大决战》气势恢宏,《毛泽东和他的儿子》则深沉细腻,银幕上塑造的雄才大略的革命领袖或叱咤风云的一代名将,与无数奉献出生命与青春的普通民众一道,绘就了一幅波澜壮阔的革命斗争史画。	Positive	0.908947467803955	No	Yes	Male	Child
husband	丈夫	1991	NEWS	窦合义	M	XIN	全区共树立文明家庭、好儿女、好儿媳、好女婿、好夫妻、好婆婆、好妯娌、好妈妈、好爸爸、好邻居等先进典型1119个,有被日本朋友誉为“妇女之神”的杨文琴及其残疾丈夫组成的文明模范家庭,有将医院无法医治、奄奄一息的老伴从死亡线上救活,又精心服侍八年,使其逐渐复康的李耀亭;有不记恩怨带着已故丈夫的母亲改嫁,又使四姓之家团结和睦的蔡巍;有支持公公再婚、十几年如一日照顾瘫痪后婆婆的董秀萍;有临危不惧,与持刀入近邻行窃的歹徒舍命相拚,负重伤而不退缩的青年夫妇郑强和张凤芝等。	Neutral	0.590625762939453	Yes	NA	Male	Spouse
mother	母亲	1991	NEWS	窦合义	M	XIN	全区共树立文明家庭、好儿女、好儿媳、好女婿、好夫妻、好婆婆、好妯娌、好妈妈、好爸爸、好邻居等先进典型1119个,有被日本朋友誉为“妇女之神”的杨文琴及其残疾丈夫组成的文明模范家庭,有将医院无法医治、奄奄一息的老伴从死亡线上救活,又精心服侍八年,使其逐渐复康的李耀亭;有不记恩怨带着已故丈夫的母亲改嫁,又使四姓之家团结和睦的蔡巍;有支持公公再婚、十几年如一日照顾瘫痪后婆婆的董秀萍;有临危不惧,与持刀入近邻行窃的歹徒舍命相拚,负重伤而不退缩的青年夫妇郑强和张凤芝等。	Positive	0.978318214416504	No	Yes	Female	Parent
father	爸爸	1991	NEWS	窦合义	M	XIN	全区共树立文明家庭、好儿女、好儿媳、好女婿、好夫妻、好婆婆、好妯娌、好妈妈、好爸爸、好邻居等先进典型1119个,有被日本朋友誉为“妇女之神”的杨文琴及其残疾丈夫组成的文明模范家庭,有将医院无法医治、奄奄一息的老伴从死亡线上救活,又精心服侍八年,使其逐渐复康的李耀亭;有不记恩怨带着已故丈夫的母亲改嫁,又使四姓之家团结和睦的蔡巍;有支持公公再婚、十几年如一日照顾瘫痪后婆婆的董秀萍;有临危不惧,与持刀入近邻行窃的歹徒舍命相拚,负重伤而不退缩的青年夫妇郑强和张凤芝等。	Positive	0.998418211936951	No	Yes	Male	Parent
mother-in-law	婆婆	1991	NEWS	窦合义	M	XIN	全区共树立文明家庭、好儿女、好儿媳、好女婿、好夫妻、好婆婆、好妯娌、好妈妈、好爸爸、好邻居等先进典型1119个,有被日本朋友誉为“妇女之神”的杨文琴及其残疾丈夫组成的文明模范家庭,有将医院无法医治、奄奄一息的老伴从死亡线上救活,又精心服侍八年,使其逐渐复康的李耀亭;有不记恩怨带着已故丈夫的母亲改嫁,又使四姓之家团结和睦的蔡巍;有支持公公再婚、十几年如一日照顾瘫痪后婆婆的董秀萍;有临危不惧,与持刀入近邻行窃的歹徒舍命相拚,负重伤而不退缩的青年夫妇郑强和张凤芝等。	Positive	0.998609125614166	No	Yes	Female	Parent_In_Law
father-in-law	公公	1991	NEWS	窦合义	M	XIN	全区共树立文明家庭、好儿女、好儿媳、好女婿、好夫妻、好婆婆、好妯娌、好妈妈、好爸爸、好邻居等先进典型1119个,有被日本朋友誉为“妇女之神”的杨文琴及其残疾丈夫组成的文明模范家庭,有将医院无法医治、奄奄一息的老伴从死亡线上救活,又精心服侍八年,使其逐渐复康的李耀亭;有不记恩怨带着已故丈夫的母亲改嫁,又使四姓之家团结和睦的蔡巍;有支持公公再婚、十几年如一日照顾瘫痪后婆婆的董秀萍;有临危不惧,与持刀入近邻行窃的歹徒舍命相拚,负重伤而不退缩的青年夫妇郑强和张凤芝等。	Positive	0.929794013500214	No	Yes	Male	Parent_In_Law
husband	丈夫	1991	NEWS	窦合义	M	XIN	可是十六年来,她不顾非难,向世俗偏见挑战,付出比一般妇女多几倍的艰辛,照顾丈夫,侍奉婆母,教养儿女。	Positive	0.937445282936096	No	Yes	Male	Spouse
father	爸爸	1991	NEWS	窦合义	M	XIN	一位90多岁的老人四十多年从未得到儿女的关心和照顾,甚至没听到叫过一声“爸爸”。	Neutral	0.657447397708893	Yes	NA	Male	Parent
mother	母亲	1991	NEWS	窦合义	M	XIN	一位女工打了母亲,居民马上报告到街妇联。	Negative	0.98921811580658	No	No	Female	Parent
mother	母亲	1991	NEWS	窦合义	M	XIN	这位女工坐不住了,急忙回家向母亲陪不是。	Positive	0.723338961601257	No	Yes	Female	Parent
son	儿子	1991	NEWS	骆国骏	M	XIN	赣东北革命根据地创始人之一黄道烈士的儿子黄知琛,如今已年届六旬。	Positive	0.567944467067719	No	Yes	Male	Child
daughter	女儿	1991	NEWS	骆国骏	M	XIN	吴继奇,江西大学图书情报系副教授,江西著名烈士吴大可的女儿。	Neutral	0.533713579177856	Yes	NA	Female	Child
daughter	女儿	1991	NEWS	骆国骏	M	XIN	在他们中间,方志敏烈士的儿子方明、女儿方梅堪称典范。	Positive	0.998708963394165	No	Yes	Female	Child
son	儿子	1991	NEWS	骆国骏	M	XIN	在他们中间,方志敏烈士的儿子方明、女儿方梅堪称典范。	Positive	0.992775082588196	No	Yes	Male	Child
father	父亲	1991	NEWS	骆国骏	M	XIN	方梅坚持10年自费考察收集父亲史料,家里彩色电视机、冰箱俱无,方明则将有限的财力全部用于三女一子、四名大学生的培养。	Neutral	0.680342853069305	Yes	NA	Male	Parent
father	父亲	1991	NEWS	骆国骏	M	XIN	方明、方梅本来是可以有条件改善生活的,但是他们认为,父亲的清贫,应该永远成为他们的家风。	Negative	0.964262366294861	No	No	Male	Parent
brother	兄弟	1991	NEWS	季进成	M	XIN	位于流域下游的上海市坚决服从大局,作出紧急部署,迎战上游洪水,在减轻兄弟省市洪灾损失的同时,采取一切措施确保上海安全。	Negative	0.347955048084259	No	No	Male	Sibling
brother	兄弟	1991	NEWS	罗康雄	M	XIN	田纪云代表国务院、国家防汛总指挥部对奋战在抗洪救灾第一线的广大干部和群众表示亲切的慰问;对上海等地牺牲局部,顾全大局,为兄弟省排忧解危而作出的贡献表示感谢。	Positive	0.968397319316864	No	Yes	Male	Sibling
father	父亲	1991	NEWS	窦广生	M	XIN	在《炎黄春秋》创刊号上,刊有反映毛泽东、周恩来和罗瑞卿、李克农等著名革命家的曲折经历与生活轶事的作品《青年毛泽东的心路历程》、《周恩来的另一个世界》;有张学良在九・一八事变时的内幕情况的《隐忍未必不抵抗》,有回忆一代名士林语堂的文章《我的父亲林语堂》等,其中多篇是独家专稿。	Positive	0.892881155014038	No	Yes	Male	Parent
daughter	女儿	1991	NEWS	方义农	M	XIN	陈爱莲表演了传统舞蹈“霓裳羽衣舞”,她的大女儿陈婕和小女儿陈妤分别表演了“筷子舞”和“孔雀之灵”,母女三人还共同表演了舞蹈“东方曲”。	Positive	0.915424823760986	No	Yes	Female	Child
daughter	女儿	1991	NEWS	王训生	M	XIN	英国女王的女儿、英国奥林匹克协会名誉主席安妮公主,今天在这里将世界大学生运动会女子100米蝶泳的金牌和银牌,分别挂到中国运动员王晓红和钱红的项颈上。	Positive	0.98083221912384	No	Yes	Female	Child
mother	妈妈	1991	NEWS	张栋	M	XIN	经过激烈角逐,重庆市代表队任婷演唱的《祖国呵,妈妈》等16个节目分别获得独唱、重唱、小合唱的一等奖,青岛市代表队的《人民的利益高于一切》等30首歌曲分别获得作品一、二、三等奖。	Positive	0.975217580795288	No	Yes	Female	Parent
girl	女孩子	1991	NEWS	杜奎昌	M	XIN	档案系学生(余加冫旁)燕,是个纤弱的女孩子,从小到大,从来没有尝过苦和累的滋味。	Negative	0.597430348396301	No	No	Female	Not_Adult
son	儿子	1991	NEWS	马成广	M	XIN	在危急关头,三里桥乡农机管理员任柏林一直坚守在第一线不下岗,家里承包的5亩责任田全部被冲,他也没时间去管,就连儿子随群众撤离时走失了,他也顾不上去找。	Negative	0.983168184757233	No	No	Male	Child
son	儿子	1991	NEWS	刘国柱	M	XIN	东埔二村的老阿婶蔡淑治有两个儿子被扣押在台湾岛上。	Neutral	0.472978472709656	Yes	NA	Male	Child
son	儿子	1991	NEWS	刘国柱	M	XIN	大儿子邱清表是“闽狮渔2294”号船的大副,三儿子邱国荣在“闽狮渔2295”号船上当水手。	Positive	0.94585645198822	No	Yes	Male	Child
son	儿子	1991	NEWS	刘国柱	M	XIN	二儿子是石狮市中国银行的职员。	Neutral	0.93311220407486	Yes	NA	Male	Child
son	儿子	1991	NEWS	刘国柱	M	XIN	被扣押在台湾的“闽狮渔2294”号船长蔡成家的岳父吴天明告诉记者,他的儿子清勇和清平是“闽狮渔2295”号的船长和轮机员。	Neutral	0.774543344974518	Yes	NA	Male	Child
father-in-law	岳父	1991	NEWS	刘国柱	M	XIN	被扣押在台湾的“闽狮渔2294”号船长蔡成家的岳父吴天明告诉记者,他的儿子清勇和清平是“闽狮渔2295”号的船长和轮机员。	Neutral	0.715379953384399	Yes	NA	Male	Parent_In_Law
son	儿子	1991	NEWS	刘国柱	M	XIN	吴天明说,他的两个儿子从小就跟随大人出海捕鱼,他们从来不喝酒,不吵架,从来没有干过非份的事情,“清勇就是脾气犟一点,受不得被人欺辱。	Positive	0.69748467206955	No	Yes	Male	Child
brother	兄弟	1991	NEWS	陈妩	F	XIN	为支援江苏受灾地区抗灾救灾,近一时期,江苏社会各界、兄弟省市和港澳同胞、海外侨胞、国外友人纷纷慷慨解囊,捐款捐物。	Positive	0.997968971729279	No	Yes	Male	Sibling
brother	兄弟	1991	NEWS	范丽青	F	XIN	当记者步入渔港时,停泊的台船“秀(孚加鱼旁)号”上的两位渔民兄弟就向记者反映,他们上个月也在台湾海峡与大陆渔船发生过纠纷,双方自己协调解决了问题,台湾渔民对大陆渔民的损失做了赔偿,但他们觉得大陆渔民在要求赔偿时动手搬东西的做法令他们难以接受。	Neutral	0.922245919704437	Yes	NA	Male	Sibling
brother	兄弟	1991	NEWS	范丽青	F	XIN	由于吴勇、吴清贫兄弟在应讯时表示不知道自己的生日,台中法院的审判长当庭委托两位大陆记者在报道中写出,协助查清。	Neutral	0.620327830314636	Yes	NA	Male	Sibling
wife	妻子	1991	NEWS	刘国柱	M	XIN	有两个儿子被扣押的阿婶蔡淑治向记者哭诉说:“我们的孩子都是老老实实的渔民,究竟犯了什么罪要遭到刑罚?”被台湾当局“起诉”的渔民邱狮的妻子沈幼珍对记者说:“我来邱家四年,从未见到邱狮同人吵架、相骂,他是一个很忠厚老实的青年!”邻居蔡丽明、侯秀雅、陈甘等几位青年妇女闻讯赶来,七嘴八舌地告诉记者邱狮是个好青年,每次讨海归来总是帮助村人干活,又勤快,又热忱。	Positive	0.873180449008942	No	Yes	Female	Spouse
son	儿子	1991	NEWS	刘国柱	M	XIN	有两个儿子被扣押的阿婶蔡淑治向记者哭诉说:“我们的孩子都是老老实实的渔民,究竟犯了什么罪要遭到刑罚?”被台湾当局“起诉”的渔民邱狮的妻子沈幼珍对记者说:“我来邱家四年,从未见到邱狮同人吵架、相骂,他是一个很忠厚老实的青年!”邻居蔡丽明、侯秀雅、陈甘等几位青年妇女闻讯赶来,七嘴八舌地告诉记者邱狮是个好青年,每次讨海归来总是帮助村人干活,又勤快,又热忱。	Neutral	0.840182304382324	Yes	NA	Male	Child
mother	母亲	1991	NEWS	刘国柱	M	XIN	他的母亲邱腰治非常关心孩子的安危。	Positive	0.994153559207916	No	Yes	Female	Parent
mother	妈妈	1991	NEWS	张愈升	M	XIN	工作人员感动地说:“老妈妈,你攒这点钱不容易,还是自己留着用吧!”老人摇摇头说:“灾区人正在受熬煎,这钱说啥也不能留。	Positive	0.603450536727905	No	Yes	Female	Parent
son	儿子	1991	NEWS	张愈升	M	XIN	广州市汽车公司老工人岑荣兴,把儿子从加拿大寄给他的3500港元的“饮茶钱”,全部捐了出来。	Positive	0.641855776309967	No	Yes	Male	Child
brother	兄弟	1991	NEWS	范丽青	F	XIN	我和清贫兄弟俩都被关在这里,家里三个姐妹早已出嫁,我孩子刚出生不久,父母身体不好,我们回不去,他们会忧愁死。	Negative	0.987153232097626	No	No	Male	Sibling
woman	女人	1991	NEWS	刘茜	F	XIN	引人注目的是,广州市经营商业的个体户目前由分散转为集中,形成了20多条具有专业性质的个体商业街,如教育路时装精品屋一条街,大南路装饰材料一条街,光复南路布匹批发一条街等,还有专营妇女用品的“女人街”,专营摩托车零配件的“摩托街”等。	Neutral	0.605317175388336	Yes	NA	Female	Adult
brother	兄弟	1991	NEWS	刘国柱	M	XIN	“闽狮渔”2294号和2295号船主蔡成家表示,他是“7・21”渔事纠纷的当事人和见证人,他要求去台湾出庭为无辜的渔民兄弟辩护。	Negative	0.808613479137421	No	No	Male	Sibling
father	父亲	1991	NEWS	刘国柱	M	XIN	被台湾当局宣判有罪的渔民吴清勇和吴清贫的父亲吴天明见到记者时,愤怒已极。	Negative	0.959750711917877	No	No	Male	Parent
wife	妻子	1991	NEWS	刘国柱	M	XIN	他说:“冤枉!天大的冤枉!”他说,听到台湾当局无理宣判的消息时,他的老伴痛哭失声,清勇的妻子也哭得像个泪人。	Negative	0.991664588451386	No	No	Female	Spouse
wife	妻子	1991	NEWS	刘国柱	M	XIN	吴清勇7月20日出海捕鱼时,妻子刚分娩十来天,天天盼着丈夫回来喝女儿的满月酒。	Negative	0.469827383756638	No	No	Female	Spouse
husband	丈夫	1991	NEWS	刘国柱	M	XIN	吴清勇7月20日出海捕鱼时,妻子刚分娩十来天,天天盼着丈夫回来喝女儿的满月酒。	Positive	0.86858481168747	No	Yes	Male	Spouse
daughter	女儿	1991	NEWS	刘国柱	M	XIN	吴清勇7月20日出海捕鱼时,妻子刚分娩十来天,天天盼着丈夫回来喝女儿的满月酒。	Positive	0.78859156370163	No	Yes	Female	Child
son	儿子	1991	NEWS	窦合义	M	XIN	江都路街75岁的叶苍松老人瘫痪6年,其儿子、儿媳为使老人生活愉快,让出较大居室给老人住,电视机也放在老人房里,又为老人特制了靠背垫。	Positive	0.966682076454163	No	Yes	Male	Child
